time,d2m,T2,ssrd,strd,u10,v10,PRES,tp,number,expver,G,LWin,RRR,year
2000-01-01 08:00:00,242.70094,251.15402,16525935.0,12202775.0,0.76286316,-1.1464577,52124.395,1.1365115e-05,0,0001,,,,2000
2000-01-01 09:00:00,242.91447,250.97717,68.0,526969.56,0.7674408,-1.1771488,52186.316,3.6372803e-06,0,0001,0.018888889,146.38043,0.0036372803,2000
2000-01-01 10:00:00,243.36938,252.31723,298160.5,1067263.5,0.67774963,-1.030549,52245.383,7.529743e-06,0,0001,82.803474,150.08165,0.0038924627,2000
2000-01-01 11:00:00,245.52628,256.26862,1368114.2,1588076.1,0.4924469,-0.7129812,52330.01,9.3961135e-06,0,0001,297.20938,144.67017,0.0018663704,2000
2000-01-01 12:00:00,249.24097,259.83765,3137367.2,2113496.8,0.6686554,-0.3490448,52384.066,1.0092743e-05,0,0001,491.45917,145.95018,0.0006966293,2000
2000-01-01 13:00:00,248.44331,261.5418,5420463.5,2642130.0,1.1263428,-0.4367218,52384.844,1.1691824e-05,0,0001,634.1934,146.84258,0.0015990809,2000
2000-01-01 14:00:00,247.91718,262.75366,7923491.5,3249525.0,1.9864044,-0.4800415,52335.8,1.9457191e-05,0,0001,695.2856,168.72084,0.0077653676,2000
2000-01-01 15:00:00,247.38129,263.3377,10137383.0,3910571.0,2.6894836,-0.25801086,52249.445,3.1493604e-05,0,0001,614.96985,183.62389,0.012036413,2000
2000-01-01 16:00:00,246.81183,263.53204,11892123.0,4672212.5,2.9766998,-0.28485107,52201.652,4.822761e-05,0,0001,487.42776,211.56708,0.016734004,2000
2000-01-01 17:00:00,246.60022,263.50568,13258906.0,5435049.0,2.8581543,-0.38945007,52224.67,6.605685e-05,0,0001,379.66196,211.89903,0.01782924,2000
2000-01-01 18:00:00,246.24796,263.0583,14044024.0,6193509.0,2.4549103,-0.31752014,52228.344,8.3405524e-05,0,0001,218.08833,210.68333,0.017348677,2000
2000-01-01 19:00:00,245.77988,262.22235,14320161.0,6862660.0,1.4724274,-0.1161499,52278.336,9.4700605e-05,0,0001,76.70472,185.87527,0.01129508,2000
2000-01-01 20:00:00,245.34035,261.04474,14321995.0,7470800.0,0.41226196,-0.32572937,52303.664,0.000100363046,0,0001,0.5094444,168.92778,0.0056624413,2000
2000-01-01 21:00:00,245.25311,259.71826,14321995.0,8068617.0,-0.061660767,-0.8274231,52333.95,0.000105362386,0,0001,0.0,166.06027,0.0049993396,2000
